Match,Date,Vs,Venue,How Dismissed,Out,Runs,Balls,TotalRuns
47,10/4/2017,Kings XI Punjab,Holkar Cricket Stadium,lbw b V R Aaron,1,1,4,727
48,14/04/2017,Mumbai Indians,M Chinnaswamy Stadium,run out,1,9,8,736
49,16/04/2017,Rising Pune Supergiant,M Chinnaswamy Stadium,b J D Unadkat,1,18,22,754
50,18/04/2017,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,0,38,16,792
51,23/04/2017,Kolkata Knight Riders,Eden Gardens,c C R Woakes b N M Coulter-Nile,1,9,7,801
52,27/04/2017,Gujarat Lions,M Chinnaswamy Stadium,b R A Jadeja,1,31,18,832
53,29/04/2017,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,run out,1,7,12,839
54,1/5/2017,Mumbai Indians,Wankhede Stadium,c K A Pollard b M J McClenaghan,1,28,22,867
55,5/5/2017,Kings XI Punjab,M Chinnaswamy Stadium,c A R Patel b M M Sharma,1,6,6,873
56,7/5/2017,Kolkata Knight Riders,M Chinnaswamy Stadium,c U T Yadav b C R Woakes,1,8,9,881
57,14/05/2017,Delhi Capitals,Arun Jaitley Stadium,run out,1,12,9,893
58,7/4/2018,Mumbai Indians,Wankhede Stadium,not out,0,24,22,917
59,23/03/2019,Royal Challengers Bangalore,MA Chidambaram Stadium,not out,0,13,19,930
60,26/03/2019,Delhi Capitals,Arun Jaitley Stadium,c †R R Pant b K Rabada,1,27,34,957
61,31/03/2019,Rajasthan Royals,MA Chidambaram Stadium,c †J C Buttler b D S Kulkarni,1,8,3,965
62,3/4/2019,Mumbai Indians,Wankhede Stadium,c †Q de Kock b S L Malinga,1,58,54,1023
63,9/4/2019,Kolkata Knight Riders,MA Chidambaram Stadium,not out,0,8,8,1031
64,11/4/2019,Rajasthan Royals,Sawai Mansingh Stadium,c B A Stokes b J C Archer,1,1,6,1032
65,14/04/2019,Kolkata Knight Riders,Eden Gardens,lbw b P P Chawla,1,20,12,1052
66,17/04/2019,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lbw b Rashid Khan,1,1,2,1053
67,21/04/2019,Royal Challengers Bangalore,M Chinnaswamy Stadium,c A B de Villiers b U T Yadav,1,9,9,1062
68,23/04/2019,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,0,11,10,1073
69,26/04/2019,Mumbai Indians,MA Chidambaram Stadium,b K H Pandya,1,6,11,1079
70,5/5/2019,Kings XI Punjab,Punjab Cricket Association IS Bindra Stadium,b Mohammed Shami,1,0,1,1079
